PETAL_LOC,DEVICE_LOC,TARGET_RA,TARGET_DEC,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_2,FIBER,EXPOSURE
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.675027210783616,3.6761202374242328,595.0,55589.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.679756785441125,3.6836971916812056,595.0,55590.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.6779168016691184,3.676749243557412,595.0,55591.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.6916568096181424,3.689082948376195,595.0,55592.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.695690733814181,3.693926095633208,595.0,55593.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.70075154529455,3.699803373153768,595.0,55594.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.1625137153852787,3.1655498732447733,595.0,55611.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.162774731149849,3.1587320240881467,595.0,55612.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.139045237010769,3.1381513666488434,595.0,55613.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.9634510434436607,1.9612470522603724,595.0,55626.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.9607223158825933,1.9620117226968852,595.0,55627.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.953048130487316,1.954787200694745,595.0,55628.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.275304814744609,2.275183069557261,595.0,55639.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.2643685654062593,2.2656566377101366,595.0,55640.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.266795535552336,2.2715063284085297,595.0,55641.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.269679492791879,2.2599668139156384,595.0,55642.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.2592310638799207,2.2650050772570025,595.0,55643.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7197388415251743,0.7180842568946906,595.0,55654.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7148881031322315,0.7085146434619399,595.0,55655.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7320997199835553,0.7174043490250112,595.0,55656.0
1.0,434.0,168.00979567817953,59.01113655341872,257.7022705078125,-244.52496337890625,2.4612177880065795,2.459633306003153,595.0,55668.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4467744072553974,2.4543781289768702,595.0,55670.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4402510116789218,2.433220499667057,595.0,55672.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.428428710092186,2.4301707758920976,595.0,55674.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4263686859172906,2.4145513040728703,595.0,55676.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.419349086014666,2.417062059608731,595.0,55678.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4086896852853417,2.4144398936399307,595.0,55680.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.390226767484625,2.3897514515112235,595.0,55682.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.382537512821152,2.3824166302307406,595.0,55684.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3798413812689283,2.3785949634185304,595.0,55686.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3575449094343885,2.3636888543122594,595.0,55688.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3525511684127087,2.346674242412014,595.0,55690.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3327293027696117,2.33987713352646,595.0,55692.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.67302300564535,3.676092626689377,595.0,55587.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.675027210783616,3.6761202374242328,595.0,55589.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.679756785441125,3.6836971916812056,595.0,55590.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.6779168016691184,3.676749243557412,595.0,55591.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.6916568096181424,3.689082948376195,595.0,55592.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.695690733814181,3.693926095633208,595.0,55593.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.70075154529455,3.699803373153768,595.0,55594.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.1625137153852787,3.1655498732447733,595.0,55611.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.162774731149849,3.1587320240881467,595.0,55612.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.139045237010769,3.1381513666488434,595.0,55613.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.9634510434436607,1.9612470522603724,595.0,55626.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.9607223158825933,1.9620117226968852,595.0,55627.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.953048130487316,1.954787200694745,595.0,55628.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.275304814744609,2.275183069557261,595.0,55639.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.2643685654062593,2.2656566377101366,595.0,55640.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.266795535552336,2.2715063284085297,595.0,55641.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.269679492791879,2.2599668139156384,595.0,55642.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.2592310638799207,2.2650050772570025,595.0,55643.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7197388415251743,0.7180842568946906,595.0,55654.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7148881031322315,0.7085146434619399,595.0,55655.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7320997199835553,0.7174043490250112,595.0,55656.0
1.0,434.0,168.00979567817953,59.01113655341872,257.7022705078125,-244.52496337890625,2.4612177880065795,2.459633306003153,595.0,55668.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4467744072553974,2.4543781289768702,595.0,55670.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4402510116789218,2.433220499667057,595.0,55672.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.428428710092186,2.4301707758920976,595.0,55674.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4263686859172906,2.4145513040728703,595.0,55676.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.419349086014666,2.417062059608731,595.0,55678.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4086896852853417,2.4144398936399307,595.0,55680.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.390226767484625,2.3897514515112235,595.0,55682.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.382537512821152,2.3824166302307406,595.0,55684.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3798413812689283,2.3785949634185304,595.0,55686.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3575449094343885,2.3636888543122594,595.0,55688.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3525511684127087,2.346674242412014,595.0,55690.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3327293027696117,2.33987713352646,595.0,55692.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.67302300564535,3.676092626689377,595.0,55587.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.675027210783616,3.6761202374242328,595.0,55589.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.679756785441125,3.6836971916812056,595.0,55590.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.6779168016691184,3.676749243557412,595.0,55591.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.6916568096181424,3.689082948376195,595.0,55592.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.695690733814181,3.693926095633208,595.0,55593.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.70075154529455,3.699803373153768,595.0,55594.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.1625137153852787,3.1655498732447733,595.0,55611.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.162774731149849,3.1587320240881467,595.0,55612.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.139045237010769,3.1381513666488434,595.0,55613.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.9634510434436607,1.9612470522603724,595.0,55626.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.9607223158825933,1.9620117226968852,595.0,55627.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.953048130487316,1.954787200694745,595.0,55628.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.275304814744609,2.275183069557261,595.0,55639.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.2643685654062593,2.2656566377101366,595.0,55640.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.266795535552336,2.2715063284085297,595.0,55641.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.269679492791879,2.2599668139156384,595.0,55642.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.2592310638799207,2.2650050772570025,595.0,55643.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7197388415251743,0.7180842568946906,595.0,55654.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7148881031322315,0.7085146434619399,595.0,55655.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7320997199835553,0.7174043490250112,595.0,55656.0
1.0,434.0,168.00979567817953,59.01113655341872,257.7022705078125,-244.52496337890625,2.4612177880065795,2.459633306003153,595.0,55668.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4467744072553974,2.4543781289768702,595.0,55670.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4402510116789218,2.433220499667057,595.0,55672.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.428428710092186,2.4301707758920976,595.0,55674.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4263686859172906,2.4145513040728703,595.0,55676.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.419349086014666,2.417062059608731,595.0,55678.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4086896852853417,2.4144398936399307,595.0,55680.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.390226767484625,2.3897514515112235,595.0,55682.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.382537512821152,2.3824166302307406,595.0,55684.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3798413812689283,2.3785949634185304,595.0,55686.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3575449094343885,2.3636888543122594,595.0,55688.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3525511684127087,2.346674242412014,595.0,55690.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.3327293027696117,2.33987713352646,595.0,55692.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.67302300564535,3.676092626689377,595.0,55587.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.675027210783616,3.6761202374242328,595.0,55589.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.679756785441125,3.6836971916812056,595.0,55590.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.6779168016691184,3.676749243557412,595.0,55591.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.6916568096181424,3.689082948376195,595.0,55592.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.695690733814181,3.693926095633208,595.0,55593.0
1.0,434.0,137.99098020439428,-0.3851656780578313,252.96343994140625,-240.449951171875,3.70075154529455,3.699803373153768,595.0,55594.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.1625137153852787,3.1655498732447733,595.0,55611.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.162774731149849,3.1587320240881467,595.0,55612.0
1.0,434.0,213.1083356084549,52.43284692363318,252.9022216796875,-242.43521118164062,3.139045237010769,3.1381513666488434,595.0,55613.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.9634510434436607,1.9612470522603724,595.0,55626.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.9607223158825933,1.9620117226968852,595.0,55627.0
1.0,434.0,200.9685324039904,7.277289086230472,256.88458251953125,-244.2943115234375,1.953048130487316,1.954787200694745,595.0,55628.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.275304814744609,2.275183069557261,595.0,55639.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.2643685654062593,2.2656566377101366,595.0,55640.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.266795535552336,2.2715063284085297,595.0,55641.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.269679492791879,2.2599668139156384,595.0,55642.0
1.0,434.0,203.10392060131824,4.937512499038951,258.26904296875,-242.9019317626953,2.2592310638799207,2.2650050772570025,595.0,55643.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7197388415251743,0.7180842568946906,595.0,55654.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7148881031322315,0.7085146434619399,595.0,55655.0
1.0,434.0,177.6949439779614,57.87631778313504,256.36477661132807,-241.9519805908203,0.7320997199835553,0.7174043490250112,595.0,55656.0
1.0,434.0,168.00979567817953,59.01113655341872,257.7022705078125,-244.52496337890625,2.4612177880065795,2.459633306003153,595.0,55668.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4467744072553974,2.4543781289768702,595.0,55670.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.4402510116789218,2.433220499667057,595.0,55672.0
1.0,434.0,168.00979567817953,59.01113655341872,257.72149658203125,-244.50469970703125,2.428428710092186,2.4301707758920976,595.0,55674.0
